n,tp,tn,fp,fn,accuracy,actual_up_rate,predicted_up_rate,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,model_name,symbol
1096,129,470,134,363,0.5465328467153284,0.4489051094890511,0.23996350364963503,0.49049429657794674,0.2621951219512195,0.34172185430463575,0.5642256902761105,0.7781456953642384,0.6541405706332637,gradient_boosted_trees,AAPL
999,133,426,156,284,0.5595595595595596,0.4174174174174174,0.28928928928928926,0.4602076124567474,0.31894484412470026,0.3767705382436261,0.6,0.7319587628865979,0.6594427244582043,gradient_boosted_trees,AMZN
1064,179,405,164,316,0.5488721804511278,0.46522556390977443,0.3223684210526316,0.521865889212828,0.3616161616161616,0.42720763723150357,0.5617198335644937,0.7117750439367311,0.6279069767441859,gradient_boosted_trees,MSFT
1249,146,469,133,501,0.4923939151321057,0.5180144115292233,0.2233787029623699,0.5232974910394266,0.22565687789799072,0.3153347732181425,0.48350515463917526,0.7790697674418605,0.5966921119592875,gradient_boosted_trees,NVDA
1096,16,586,18,476,0.5492700729927007,0.4489051094890511,0.03102189781021898,0.47058823529411764,0.032520325203252036,0.06083650190114069,0.551789077212806,0.9701986754966887,0.7034813925570228,logistic_regression,AAPL
999,20,570,12,397,0.5905905905905906,0.4174174174174174,0.03203203203203203,0.625,0.047961630695443645,0.08908685968819599,0.5894519131334023,0.979381443298969,0.7359586830213041,logistic_regression,AMZN
1064,27,552,17,468,0.5441729323308271,0.46522556390977443,0.041353383458646614,0.6136363636363636,0.05454545454545454,0.10018552875695733,0.5411764705882353,0.9701230228471002,0.6947765890497167,logistic_regression,MSFT
1249,357,303,299,290,0.5284227381905524,0.5180144115292233,0.5252201761409128,0.5442073170731707,0.5517774343122102,0.5479662317728319,0.5109612141652614,0.5033222591362126,0.5071129707112971,logistic_regression,NVDA
1096,54,560,44,438,0.5602189781021898,0.4489051094890511,0.08941605839416059,0.5510204081632653,0.10975609756097561,0.18305084745762712,0.561122244488978,0.9271523178807947,0.6991260923845193,random_forest,AAPL
999,77,517,65,340,0.5945945945945946,0.4174174174174174,0.14214214214214213,0.5422535211267606,0.18465227817745802,0.2754919499105546,0.603267211201867,0.8883161512027491,0.718554551772064,random_forest,AMZN
1064,77,514,55,418,0.5554511278195489,0.46522556390977443,0.12406015037593984,0.5833333333333334,0.15555555555555556,0.2456140350877193,0.5515021459227468,0.9033391915641477,0.6848767488341106,random_forest,MSFT
1249,74,544,58,573,0.49479583666933546,0.5180144115292233,0.10568454763811048,0.5606060606060606,0.1143740340030912,0.18998716302952504,0.4870188003581021,0.9036544850498339,0.6329261198371147,random_forest,NVDA
