n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
11765,2535,3745,2640,2845,0.5337866553336167,0.48985507246376814,0.4711895910780669,0.48034107058266223,0.5682852807283764,0.586530931871574,0.5772639691714837,0.5329422356901526,0.439864003399915,gradient_boosted_trees,0.48
11765,2734,3522,2863,2646,0.5317467063323417,0.4884759692692514,0.5081784386617101,0.4981324587774438,0.5710116731517509,0.5516053249804229,0.5611407631641839,0.5323277858925595,0.4757331066723332,logistic_regression,0.47
11765,2172,4169,2216,3208,0.5389715257118572,0.4949863263445761,0.4037174721189591,0.44471744471744473,0.565134878676969,0.6529365700861394,0.6058712396454004,0.5321774515695481,0.37297067573310666,logistic_regression,0.48
11765,2093,4259,2126,3287,0.5399065023374415,0.49608912064470256,0.3890334572490706,0.4360870924054589,0.5644049827723298,0.6670321064996084,0.6114421075299692,0.5312542638096236,0.3586060348491288,random_forest,0.49
11765,2714,3526,2859,2666,0.5303867403314917,0.48699084873497217,0.504460966542751,0.49557198940929426,0.5694444444444444,0.5522317932654659,0.5607060507275184,0.5309209891132348,0.47369315767105824,random_forest,0.48
11765,3197,3036,3349,2183,0.5297917552061199,0.48838985640085547,0.5942379182156133,0.5361395270836827,0.581720636137191,0.4754894283476899,0.5232678386763185,0.5291539146331073,0.5563960900977476,logistic_regression,0.46
11765,2117,4196,2189,3263,0.5365915852103698,0.4916395726892708,0.39349442379182153,0.437125748502994,0.5625418956964741,0.6571652310101801,0.6061831840508524,0.5288751514756311,0.36600084997875054,gradient_boosted_trees,0.49
11765,2940,3265,3120,2440,0.5274118147046324,0.48514851485148514,0.5464684014869888,0.5139860139860138,0.5723049956178791,0.5113547376664056,0.5401157981803142,0.5281669465895504,0.5150871228219295,gradient_boosted_trees,0.47
11765,3295,2911,3474,2085,0.5274968125796855,0.48677795833948884,0.612453531598513,0.5424314758416331,0.5826661329063251,0.45591229444009396,0.5115543449608998,0.5256741039186852,0.5753506162345942,random_forest,0.47
11765,1662,4757,1628,3718,0.5456013599660009,0.5051671732522797,0.30892193308550187,0.3833910034602076,0.5612979351032449,0.7450274079874706,0.6402422611036339,0.5227871173618885,0.2796430089247769,logistic_regression,0.49
